DATE,DTB3
26/8/14,0.03
27/8/14,0.04
28/8/14,0.03
29/8/14,0.03
1/9/14,.
2/9/14,0.03
3/9/14,0.03
4/9/14,0.03
5/9/14,0.03
8/9/14,0.02
9/9/14,0.02
10/9/14,0.02
11/9/14,0.02
12/9/14,0.02
15/9/14,0.02
16/9/14,0.02
17/9/14,0.02
18/9/14,0.02
19/9/14,0.02
22/9/14,0.01
23/9/14,0.01
24/9/14,0.02
25/9/14,0.01
26/9/14,0.01
29/9/14,0.02
30/9/14,0.02
1/10/14,0.02
2/10/14,0.01
3/10/14,0.01
6/10/14,0.02
7/10/14,0.02
8/10/14,0.01
9/10/14,0.01
10/10/14,0.01
13/10/14,.
14/10/14,0.02
15/10/14,0.02
16/10/14,0.03
17/10/14,0.02
20/10/14,0.02
21/10/14,0.02
22/10/14,0.02
23/10/14,0.01
24/10/14,0.01
27/10/14,0.02
28/10/14,0.02
29/10/14,0.03
30/10/14,0.01
31/10/14,0.01
3/11/14,0.02
4/11/14,0.03
5/11/14,0.03
6/11/14,0.03
7/11/14,0.03
10/11/14,0.02
11/11/14,.
12/11/14,0.02
13/11/14,0.02
14/11/14,0.02
17/11/14,0.03
18/11/14,0.02
19/11/14,0.01
20/11/14,0.02
21/11/14,0.01
24/11/14,0.02
25/11/14,0.02
26/11/14,0.02
27/11/14,.
28/11/14,0.02
1/12/14,0.03
2/12/14,0.03
3/12/14,0.01
4/12/14,0.02
5/12/14,0.02
8/12/14,0.03
9/12/14,0.04
10/12/14,0.03
11/12/14,0.03
12/12/14,0.02
15/12/14,0.04
16/12/14,0.03
17/12/14,0.03
18/12/14,0.04
19/12/14,0.04
22/12/14,0.05
